file	pckfgs	classes	methods
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-31_android_demo.txt	1	3	6
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-31_android_full.txt	1	3	5
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-31_android_lite.txt	4	8	21
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-32_blackberry_full.txt	1	3	5
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-32_blackberry_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-34_library_google_maps2.txt	1	2	12
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-30_project.txt	71	351	3604
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-30_project_alpha.txt	9	29	168
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-31_android_demo.txt	1	3	6
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-31_android_lite.txt	4	8	24
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-32_blackberry_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-34_library_google_maps2.txt	1	3	13
F:\ALIFE\javancss\out\2018-06-01-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-30_project.txt	73	359	3665
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-30_project_alpha.txt	9	29	174
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-31_android_lite.txt	4	8	24
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-32_blackberry_lite.txt	3	7	18
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-34_library_google_maps2.txt	1	3	13
F:\ALIFE\javancss\out\2018-06-08-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-30_project.txt	73	361	3698
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-30_project_alpha.txt	12	33	189
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-31_android_lite.txt	4	8	24
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-32_blackberry_lite.txt	3	7	18
