file 	lang 	files 	blanks 	comments 	code
F:\ALIFE\cloc\2017-09-29.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-09-29.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-09-29.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-09-29.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-09-29.scv	C/C++ Header	467	5669	11521	14755
F:\ALIFE\cloc\2017-09-29.scv	XML	292	2308	676	88338
F:\ALIFE\cloc\2017-09-29.scv	Javascript	50	2738	8928	17342
F:\ALIFE\cloc\2017-09-29.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-09-29.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-09-29.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-10-06-AndroidV2-30_project.scv	Java	206	5607	3290	22183
F:\ALIFE\cloc\2017-10-06-AndroidV2-30_project.scv	XML	144	1412	357	10827
F:\ALIFE\cloc\2017-10-06.scv	Java	682	17755	16092	57177
F:\ALIFE\cloc\2017-10-06.scv	CSS	104	7477	2585	32869
F:\ALIFE\cloc\2017-10-06.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-10-06.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-10-06.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-10-06.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-10-06.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-10-06.scv	HTML	1227	17017	16462	288080
F:\ALIFE\cloc\2017-10-06.scv	Objective C	255	11316	9493	33234
F:\ALIFE\cloc\2017-10-06.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-10-06.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-10-06.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-10-06.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-10-06.scv	C/C++ Header	469	5694	11544	14821
F:\ALIFE\cloc\2017-10-06.scv	XML	292	2311	676	100033
F:\ALIFE\cloc\2017-10-06.scv	Javascript	50	2738	8928	17342
F:\ALIFE\cloc\2017-10-06.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-10-06.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-10-06.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-10-13-AndroidV2-30_project.scv	Java	207	5641	3280	22291
F:\ALIFE\cloc\2017-10-13-AndroidV2-30_project.scv	XML	154	1448	359	11253
F:\ALIFE\cloc\2017-10-13.scv	Java	683	17789	16082	57285
F:\ALIFE\cloc\2017-10-13.scv	CSS	104	7477	2585	32869
F:\ALIFE\cloc\2017-10-13.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-10-13.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-10-13.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-10-13.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-10-13.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-10-13.scv	HTML	1227	17017	16462	288080
F:\ALIFE\cloc\2017-10-13.scv	Objective C	255	11316	9493	33234
F:\ALIFE\cloc\2017-10-13.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-10-13.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-10-13.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-10-13.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-10-13.scv	C/C++ Header	469	5694	11544	14821
F:\ALIFE\cloc\2017-10-13.scv	XML	302	2347	678	100459
F:\ALIFE\cloc\2017-10-13.scv	Javascript	50	2738	8928	17342
F:\ALIFE\cloc\2017-10-13.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-10-13.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-10-13.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-10-20-AndroidV2-30_project.scv	Java	207	5727	3298	22576
F:\ALIFE\cloc\2017-10-20-AndroidV2-30_project.scv	XML	159	1579	359	11657
F:\ALIFE\cloc\2017-10-20.scv	Java	686	17905	16152	57674
F:\ALIFE\cloc\2017-10-20.scv	CSS	105	7631	2609	33553
F:\ALIFE\cloc\2017-10-20.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-10-20.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-10-20.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-10-20.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-10-20.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-10-20.scv	HTML	1228	17017	16462	288137
