File,Total Time,Coding %,Debugging %,Testing %,FC% Flow Complexity,OV% Object Vocabulary,OC% Object Conjuration,AI% Arithmetic Intricacy,DT% Data Transfer,ID% Inline Data,CS% Code Structure,CM% Comments,CCR Code to Comment Ratio,ECF Essential Comment Factor,CSM Code Structure Modularity,LD Logic Density,SDE Source Divergence Entropy,IDF Information Diversity Factor,OCF Object Convolution Factor,LLOC Logical Lines of Code,Multi Line Comments,Single Line Comments,High Quality Comments,Strings,Numeric Constants,Code Nature,Quality Notes Count,Quality Notes Detail,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dashboard\activities\SplashScreen.java,17,50,30,20,14,60,11,1,7,0,7,0,5,11,192,30,42,120,22,39,0,2,2,1,1,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dashboard\util\PortalInvitation.java,4,52,29,19,12,70,7,0,5,0,6,0,0,0,174,42,29,61,18,6,0,0,0,0,0,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dashboard\util\TrialExpire.java,8,48,32,20,25,55,10,0,4,0,6,0,0,0,204,35,28,109,25,13,0,0,0,0,0,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\database\BaseDao.java,1,55,27,18,0,82,7,0,2,0,8,0,0,0,125,0,13,50,10,4,0,0,0,0,0,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\database\BaseObject.java,11,42,37,22,47,30,11,3,4,0,5,0,4,11,147,68,45,230,24,24,1,0,1,2,4,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\database\DatabaseComponent.java,2,54,28,19,0,79,11,0,5,0,6,0,0,0,68,0,24,78,12,8,0,0,0,0,0,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\database\DatabaseComponentImpl.java,54,44,34,22,40,31,14,1,7,0,6,0,10,27,146,53,54,299,26,132,1,13,14,18,8,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\database\DatabaseInitializer.java,19,45,33,22,33,35,16,1,7,0,7,0,7,19,176,56,50,280,26,52,1,3,4,11,2,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\database\Definition.java,42,43,35,22,36,27,20,2,8,0,6,0,18,48,145,53,54,460,33,112,14,7,21,9,6,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\database\DefinitionRecord.java,23,45,33,22,24,34,23,3,9,0,7,0,11,31,153,47,50,419,31,75,7,2,9,10,8,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\database\RecordObject.java,14,42,36,22,45,27,13,5,4,0,5,0,9,25,148,78,45,293,26,31,3,0,3,4,5,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\activities\ExerciseDetailActivity.java,17,47,32,21,26,47,13,0,6,0,6,0,2,7,156,45,36,177,27,36,0,1,1,5,0,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\activities\ExerciseListActivity.java,10,49,31,20,18,62,10,0,5,0,4,0,15,50,119,47,37,104,26,18,0,3,3,2,0,Normal,0,
